description_ru;description_en;identifier_id;delivery_cost;identifier_name
Доставка цветов по России;Flower delivery in Russia;2;38;country_id
Доставка цветов по Литве;Flower delivery in Lithuania;3;55;country_id
Доставка цветов по Латвии;Flower delivery in Latvia;4;55;country_id
Доставка цветов по Казахстану;Flower delivery in Kazakhstan;5;55;country_id
Доставка цветов по Эстонии;Flower delivery in Estonia;6;55;country_id
Доставка цветов по Азербайджану;Flower delivery in Azerbaijan;7;80;country_id
Доставка цветов по Армении;Flower delivery in Armenia;8;55;country_id
Доставка цветов по Туркменистану;Flower delivery in Turkmenistan;9;90;country_id
Доставка цветов по Таджикистану;Flower delivery in Tajikistan;10;100;country_id
Доставка цветов по Грузии;Flower delivery in Georgia;11;55;country_id
Доставка цветов по Киргизии;Flower delivery in Kyrgyzstan;12;90;country_id
Доставка цветов по Молдавии;Flower delivery in Moldova;13;55;country_id
Доставка цветов по Узбекистану;Flower delivery in Uzbekistan;14;55;country_id
Доставка цветов по Австралии;Flower delivery in Australia;15;55;country_id
Доставка цветов по Австрии;Flower delivery in Austria;16;55;country_id
Доставка цветов по Албании;Flower delivery in Albania;17;55;country_id
Доставка цветов по Андорре;Flower delivery in Andorra;18;85;country_id
Доставка цветов по Антигуа;Flower delivery in Antigua;19;95;country_id
Доставка цветов по Багамским островам;Flower delivery in the Bahamas;21;90;country_id
Доставка цветов по Барбадосу;Flower delivery in Barbados;22;96;country_id
Доставка цветов по Бахрейну;Flower delivery in Bahrain;23;90;country_id
Доставка цветов по Белизу;Flower delivery in Belize;24;85;country_id
Доставка цветов по Бельгии;Flower delivery in Belgium;25;55;country_id
Доставка цветов по Ангилье;Flower delivery in Anguilla;26;100;country_id
Доставка цветов по Арубе;Flower delivery in Aruba;27;95;country_id
Доставка цветов по Балеарским островам;Flower delivery in the Balearic Islands;28;94;country_id
Доставка цветов по Бонайре;Flower delivery in Bonaire;29;100;country_id
Доставка цветов по Бермудским островам;Flower delivery in Bermuda;30;99;country_id
Доставка цветов по Боливии;Flower delivery in Bolivia;31;55;country_id
Доставка цветов по Боснии;Flower delivery in Bosnia;32;60;country_id
Доставка цветов по Болгарии;Flower delivery in Bulgaria;33;150;country_id
Доставка цветов по Бразилии;Flower delivery in Brazil;34;70;country_id
Доставка цветов по Вануату;Flower delivery in Vanuatu;35;100;country_id
Доставка цветов по Ватикану;Flower delivery to Vatican;36;55;country_id
